才, さい, sai, 私は二十歳です。
種類, しゅるい, shurui, 色々な種類があります。
友達, ともだち, tomodachi, 友達と遊びます。
種類, しゅるい, shurui, 魚の種類が多い。
天気予報, てんきよほう, tenkiyohou, 天気予報を見ます。
平等, びょうどう, byoudou, 平等な社会です。
座る, すわる, suwaru, 椅子に座ります。
忘れないで, わすれないで, wasurenaide, 宿題を忘れないで。
洗う, あらう, arau, 手を洗います。
不可能, ふかのう, fukanou, 不可能なことはない。
許してくれました, ゆるしてくれました, yurushitekuremashita, 彼は許してくれました。
静かな, しずかな, shizukana, 静かな夜です。
タバコ, たばこ, tabako, タバコの煙が苦手です。
参加, さんか, sanka, 試合に参加します。
容易な, よういな, youina, 容易な問題です。
易しい, やさしい, yasashii, 易しいテストです。
財産, さいさん, saisan, 財産を守ります。
若い, わかい, wakai, 若い人が多いです。
忙しい, いそがしい, isogashii, 今日は忙しいです。
生徒, せいと, seito, 生徒が集まります。
得, とく, toku, 得をしました。
続けます, つづけます, tsuzukemasu, 勉強を続けます。
連絡, れんらく, renraku, 連絡をください。
困った, こまった, komatta, 困ったことが起きました。
飛行機, ひこうき, hikouki, 飛行機に乗ります。
飛んでいます, とんでいます, tondeimasu, 鳥が空を飛んでいます。
被害, ひがい, higai, 被害が出ました。
余りました, あまりました, amarimashita, 時間が余りました。
難しい, むずかしい, muzukashii, 難しい漢字です。
確かめます, たしかめます, tashikamemasu, 予定を確かめます。
現在, げんざい, genzai, 現在の時刻です。
夢, ゆめ, yume, 夢を持っています。
お土産, おみやげ, omiyage, お土産を買います。
倒れました, たおれました, taoremarshita, 木が倒れました。
妻, つま, tsuma, 私の妻です。
会議, かいぎ, kaigi, 会議に出ます。
犯人, はんにん, hannin, 犯人が捕まりました。
罪, つみ, tsumi, 罪を認めます。
論文, ろんぶん, ronbun, 論文を書きます。
経済, けいざい, keizai, 経済を学びます。
経済, けいざい, keizai, 経済学部です。
判断, はんだん, handan, 判断を任せます。
制度, せいど, seido, 新しい制度です。
公務員, こうむいん, koumuin, 私は公務員です。
資料, しりょう, shiryou, 資料を読みます。
権利, けんり, kenri, 権利があります。
事件, じけん, jiken, 事件が起きました。
断ります, ことわります, kotowarimasu, 誘いを断ります。
任せます, まかせます, makasemasu, あなたに任せます。
責任, せきにん, sekinin, 責任を持ちます。
増えました, ふえました, fuemashita, 体重が増えました。
解きます, ときます, tokimasu, 問題を解きます。
国際, こくさい, kokusai, 国際空港です。
認めます, みとめます, mitomemasu, 間違いを認めます。
過ぎました, すぎました, sugimashita, 時間が過ぎました。
寝ます, ねます, nemasu, もう寝ます。
置いてください, おいてください, oitekudasai, ここに置いてください。
費用, ひよう, hiyou, 費用がかかります。
示します, しめします, shimeshimasu, 道を示します。
観光, かんこう, kankou, 観光に行きます。
値段, ねだん, nedan, 値段が高いです。
吸います, すいます, suimasu, タバコを吸います。
状況, じょうきょう, joukyou, 状況が変わりました。
収入, しゅうにゅう, shuunyuu, 収入が増えました。
職, しょく, shoku, 職を探しています。
規則, きそく, kisoku, 規則を守ります。
割引, わりびき, waribiki, 割引があります。
演説, えんぜつ, enzetu, 演説を聴きます。
看護師, かんごし, kangoshi, 看護師をしています。
準備, じゅんび, junbi, 準備ができました。
優しい, やさしい, yasashii, 優しい人です。
自宅, じたく, jたく, 自宅に帰ります。
現在, げんざい, genzai, 現在の状況です。
呼びます, よびます, yobimasu, タクシーを呼びます。
違います, ちがいます, chigaimasu, 答えが違います。
交差点, こうさてん, kousaten, 交差点を曲がります。
子供, こども, kodomo, 子供が遊んでいます。
制限, せいげん, seigen, 制限時間です。
与えます, あたえます, ataemasu, チャンスを与えます。
渡ります, わたります, watarimasu, 橋を渡ります。
景色, けしき, keshiki, 景色がきれいです。
抜けます, ぬけます, nukemasu, 列を抜けます。
気候, きこう, kikou, 気候が良いです。
結構, けっこう, kekkou, 結構なお手前です。
捕まえます, つかまえます, tsukamaemasu, 泥棒を捕まえます。
慣れました, なれました, naremashita, 日本の生活に慣れました。
満員, まんいん, manin, 満員電車です。
掛けます, かけます, kakemasu, 電話を掛けます。
居酒屋, いざかや, izakaya, 居酒屋に行きます。
突き当たり, つきあたり, tsukiatari, 突き当たりを右です。
招待, しょうたい, shoutai, パーティーに招待します。
階段, かいだん, kaidan, 階段を上ります。
お腹, おなか, onaka, お腹が空きました。
痛い, いたい, itai, 頭が痛いです。
退院, たいいん, taiin, 病院を退院します。
迷いました, まよいました, mayoimashita, 道に迷いました。
訪ねます, たずねます, tazunemasu, 友達を訪ねます。
怒っています, おこっています, okotteimasu, 先生が怒っています。
眠く, ねむく, nemuku, 眠くなりました。
靴, くつ, kutsu, 靴を履きます。
途中, とちゅう, tochuu, 途中で雨が降りました。
給料, きゅうりょう, kyuuryou, 給料をもらいました。
冷たい, つめたい, tsumetai, 冷たい水を飲みます。
処分, しょぶん, shobun, ゴミを処分します。
主婦, しゅふ, shufu, 私は主婦です。
程度, ていど, teido, これくらいの程度です。
精一杯, せいいっぱい, seiippai, 精一杯頑張ります。
絶対に, ぜったいに, zettaini, 絶対に秘密です。
いっぱい, いっぱい, ippai, お腹がいっぱいです。
積もりました, つもりました, tsumorimashita, 雪が積もりました。
立ち寄ります, たちよります, tachiyorimasu, 立ち寄ります。
娘, むすめ, musume, 私の娘です。
怖い, こわい, kowai, 暗闇が怖いです。
恐れません, おそれません, osoremasen, 失敗を恐れません。
結婚, けっこん, kekkon, 結婚します。
遊びます, あそびます, asobimasu, 公園で遊びます。
貧乏な, びんぼうな, binbouna, 貧乏な生活です。
適当な, てきとうな, tekitouna, 適当な答えです。
押します, おします, oshimasu, ボタンを押します。
変更, へんこう, henkou, 予定を変更します。
浮かびました, うかびました, ukabimashita, アイデアが浮かびました。
引っ越し, ひっこし, hikkoshi, 引っ越しをします。
背中, せなか, senaka, 背中が痛いです。
盗まれました, ぬすまれました, nusumaremashita, お金を盗まれました。
いくつ, いくつ, ikutsu, いくつありますか。
散歩, さんぽ, sanpo, 散歩をします。
似ています, にています, niteimasu, 父親に似ています。
富士山, ふじさん, fujisan, 富士山に登ります。
探しています, さがしています, sagashiteimasu, 鍵を探しています。
迎えます, むかえます, mukaeru, 駅で友達を迎えます。
祖父, そふ, sofu, 祖父は元気です。
雑誌, ざっし, zasshi, 雑誌を読みます。
賛成, さんせい, sansei, 提案に賛成です。
混んでいます, こんでいます, kondeimasu, 電車が混んでいます。
欲しい, ほしい, hoshii, 新しい服が欲しいです。
閉めます, しめます, shimeru, 窓を閉めます。
窓, まど, mado, 窓を開けます。
否定的な, ひていてきな, hiteitekina, 否定的な意見です。
暮らします, くらします, kurashimasu, 田舎で暮らします。
誤り, あやまり, ayamari, 誤りを直します。
降っています, ふっています, futteimasu, 雨が降っています。
勤めています, つとめています, tsutometeimasu, 会社に勤めています。
時刻, じこく, jikoku, 時刻を確認します。
遅い, おそい, osoi, 時間が遅いです。
破りました, やぶりました, yaburimashita, 約束を破りました。
お互いに, おたがいに, otagai_ni, お互いに頑張りましょう。
彼, かれ, kare, 彼は私の友達です。
恥ずかしい, はずかしい, hazukashii, 恥ずかしいです。
払います, はらいます, haraimasu, お金を払います。
舞台, ぶたい, butai, 歌舞伎の舞台です。
頼みます, たのみます, tanomimasu, お願いを頼みます。
戻ります, もどります, modorimasu, 席に戻ります。
抱きます, だきます, dakimasu, 赤ちゃんを抱きます。
一緒, いっしょ, issho, 一緒に行きましょう。
逃げました, にげました, nigemashita, 犯人が逃げました。
ご馳走様, ごちそうさま, gochisousama, ご馳走様でした。
吹いています, ふいています, fuiteimasu, 風が吹いています。
到着します, とうちゃくします, touchakushimasu, 飛行機が到着します。
誰, だれ, dare, あなたは誰ですか。
俺, おれ, ore, 俺の番だ。
髪, かみ, kami, 髪を切りました。
疲れました, つかれました, tsukaremashita, 今日は疲れました。
歳, さい, sai, ５歳になりました。
たまたま, たまたま, tamatama, たまたま会いました。
偉い, えらい, erai, 偉い人です。
頂きます, いただきます, itadakimasu, 頂きます。
