手, て, te, 手を洗います。
出発, しゅっぱつ, shuppatsu, 列車が出発します。
送る, おくる, okuru, メールを送ります。
重い, おもい, omoi, このカバンは重いです。
起きる, おきる, okiru, 毎朝６時に起きます。
病院, びょういん, byouin, 病院へ行きます。
終わる, おわる, owaru, 授業が終わりました。
習う, ならう, narau, ピアノを習っています。
自転車, じてんしゃ, jitensha, 自転車に乗ります。
運転, うんてん, unten, 車を運転します。
開ける, あける, akeru, ドアを開けます。
集める, あつめる, atsumeru, 切手を集めています。
飲む, のむ, nomu, コーヒーを飲みます。
授業, じゅぎょう, jugyou, 授業が始まります。
漢字, かんじ, kanji, 漢字を勉強します。
歌, うた, uta, 歌を歌います。
両親, りょうしん, ryoushin, 両親に感謝します。
病気, びょうき, byouki, 病気になりました。
別れる, わかれる, wakeru, 友達と別れます。
注意, ちゅうい, chuui, 注意してください。
洋服, ようふく, youfuku, 洋服を買いました。
特に, とくに, tokuni, 特に問題はありません。
意味, いみ, imi, この言葉の意味は何ですか。
味, あじ, aji, この料理はいい味がします。
勉強, べんきょう, benkyou, 毎日勉強します。
旅行, りょこう, ryokou, 旅行に行きたいです。
会社員, かいしゃいん, kaishain, 私は会社員です。
動く, うごく, ugoku, 機械が動いています。
悪い, わるい, warui, 天気が悪いです。
家族, かぞく, kazoku, 家族が大好きです。
着る, きる, kiru, コートを着ます。
野菜, やさい, yasai, 野菜を食べます。
風, かぜ, kaze, 風が吹いています。
新しい, あたらしい, atarashii, 新しい車です。
問題, もんだい, mondai, 問題が難しいです。
銀行, ぎんこう, ginkou, 銀行でお金を下ろします。
宿題, しゅくだい, shukudai, 宿宿題を忘れないでください。
図書館, としょかん, toshokan, 図書館に行きます。
駅, えき, eki, 駅で待ち合わせます。
料理, りょうり, ryouri, 日本料理が好きです。
映画, えいが, eiga, 映画を見に行きます。
目的, もくてき, mokuteki, 旅の目的は何ですか。
私, わたし, watashi, 私は学生です。
帰る, かえる, kaeru, 家に帰ります。
春, はる, haru, 春が来ました。
昼ご飯, ひるごはん, hirugohan, 昼ご飯を食べます。
秋, あき, aki, 秋は涼しいです。
時計, とけい, tokei, 時計を買いました。
建物, たてもの, tatemono, 高い建物が見えます。
英語, えいご, eigo, 英語を勉強しています。
ご飯, ごはん, gohan, ご飯を食べましたか。
曜日, ようび, youbi, 今日は何曜日ですか。
品物, しなもの, shinamono, 良い品物です。
急ぐ, いそぐ, isogu, 急いで行きましょう。
真っ直ぐ, まっすぐ, massugu, 真っ直ぐ進んでください。
食堂, しょくどう, shokudou, 食堂で食べます。
試験, しけん, shiken, 試験を受けます。
借りる, かりる, kariru, 本を借りました。
経験, けいけん, keiken, 良い経験になりました。
質問, しつもん, shitsumon, 質問があります。
貸す, かす, kasu, ペンを貸してください。
